;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;;brouette (3);;;;;;;brouette (4);;;;;;;brouette (5);;;;;;;brouette (6);;;;;;;Cibles non appariées - Cible 1;;;;Cibles non appariées - Cible 2;;;;Cibles non appariées - Cible 3;;;;Cibles non appariées - Cible 4;;;;Cibles non appariées - Cible 5;;;;Cibles non appariées - Cible 6;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected;TX;TY;TZ;Detected
0,414000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-89,254204;-4,193055;2493,522705;1;-97,440826;-4,106053;2436,132568;1;-76,588181;-4,086341;2434,448486;1;-84,869781;-4,003753;2379,715576;1;-98,276749;-33,460262;2436,097656;1;-62,998127;-22,274508;2433,280273;1
0,448000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,274109;-33,464207;2436,101074;1;-62,996647;-22,273537;2433,280762;1;-89,255112;-4,196418;2493,536377;1;-97,445511;-4,110141;2436,119141;1;-76,582626;-4,087003;2434,431641;1;-84,868095;-4,005186;2379,674316;1
0,483000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-89,251312;-4,193338;2493,497314;1;-97,439636;-4,111963;2436,096191;1;-76,581978;-4,077942;2434,407959;1;-84,865318;-4,001048;2379,665283;1;-98,280296;-33,471504;2436,117432;1;-63,004704;-22,274029;2433,323975;1
0,517000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,275620;-33,469902;2436,108154;1;-62,997158;-22,269327;2433,288330;1;-97,430557;-4,103386;2436,112061;1;-89,244171;-4,187148;2493,498291;1;-84,863243;-4,000478;2379,710938;1;-76,581917;-4,079889;2434,441162;1
0,552000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-89,251549;-4,201999;2493,528320;1;-97,441216;-4,113786;2436,116943;1;-76,586800;-4,086961;2434,459473;1;-84,871468;-4,003377;2379,706299;1;-98,279434;-33,465824;2436,126953;1;-63,000401;-22,270956;2433,257813;1
0,586000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272835;-33,462429;2436,104980;1;-62,997990;-22,276846;2433,325684;1;-89,245422;-4,192677;2493,502441;1;-97,434128;-4,100943;2436,099609;1;-76,585953;-4,079813;2434,458252;1;-84,869614;-3,992741;2379,711914;1
0,621000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,271461;-33,463425;2436,091797;1;-63,000553;-22,264063;2433,283447;1;-97,434143;-4,114109;2436,106934;1;-89,249374;-4,197562;2493,482422;1;-84,867889;-4,007906;2379,711182;1;-76,588196;-4,086942;2434,431396;1
0,655000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,277962;-33,466820;2436,095459;1;-62,994789;-22,269697;2433,301270;1;-89,251778;-4,198078;2493,520020;1;-97,440689;-4,110223;2436,114258;1;-76,580429;-4,082034;2434,420898;1;-84,864388;-3,998824;2379,674072;1
0,689000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,274673;-33,464596;2436,092041;1;-62,996059;-22,278320;2433,306641;1;-89,244736;-4,194398;2493,463623;1;-97,430458;-4,111807;2436,082764;1;-76,581055;-4,075511;2434,400879;1;-84,861725;-3,997504;2379,676025;1
0,724000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,271706;-33,464493;2436,055664;1;-62,998932;-22,275572;2433,250488;1;-89,253090;-4,197470;2493,486328;1;-97,438950;-4,107140;2436,102539;1;-76,587418;-4,086600;2434,414551;1;-84,868248;-4,000854;2379,687500;1
0,758000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,280518;-33,471081;2436,114014;1;-62,995533;-22,274935;2433,274658;1;-97,431107;-4,107916;2436,101318;1;-89,242722;-4,196331;2493,501709;1;-84,860054;-3,999854;2379,684082;1;-76,576675;-4,083688;2434,426514;1
0,793000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272438;-33,469410;2436,082520;1;-62,994308;-22,278723;2433,263184;1;-89,246552;-4,188013;2493,496582;1;-97,438087;-4,109985;2436,073730;1;-76,582405;-4,085069;2434,430908;1;-84,868965;-4,011165;2379,666504;1
0,827000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,270752;-33,467976;2436,125977;1;-62,996159;-22,267784;2433,277832;1;-97,441269;-4,110129;2436,130615;1;-89,253983;-4,196371;2493,525391;1;-84,863129;-4,003431;2379,681641;1;-76,580795;-4,085175;2434,417725;1
0,862000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272308;-33,465893;2436,078125;1;-62,995934;-22,278395;2433,278320;1;-97,438194;-4,105175;2436,091309;1;-89,248199;-4,191875;2493,503662;1;-84,866493;-4,000623;2379,672119;1;-76,581482;-4,082863;2434,426025;1
0,896000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,269241;-33,465591;2436,090088;1;-62,996365;-22,268272;2433,293701;1;-89,253014;-4,195376;2493,530762;1;-97,444794;-4,116515;2436,104248;1;-76,583305;-4,083884;2434,438965;1;-84,870155;-4,009357;2379,672119;1
0,931000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,271751;-33,471348;2436,087402;1;-63,002254;-22,270161;2433,269775;1;-89,255043;-4,195271;2493,502686;1;-97,439774;-4,114874;2436,126221;1;-76,582024;-4,081290;2434,396484;1;-84,861763;-4,005317;2379,677734;1
0,965000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,276031;-33,467136;2436,077148;1;-62,998077;-22,267570;2433,278076;1;-89,245819;-4,200558;2493,507568;1;-97,435486;-4,114358;2436,097656;1;-76,576317;-4,083758;2434,416504;1;-84,861023;-4,002182;2379,665527;1
1,000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272072;-33,460079;2436,061523;1;-62,987614;-22,277756;2433,269287;1;-97,427216;-4,107630;2436,085205;1;-89,241890;-4,194256;2493,462891;1;-84,862091;-4,001745;2379,694336;1;-76,581856;-4,083884;2434,416748;1
1,034000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,271782;-33,469051;2436,034912;1;-62,995964;-22,274221;2433,262207;1;-97,435600;-4,111020;2436,074219;1;-89,246567;-4,198954;2493,479004;1;-84,865982;-4,003689;2379,664307;1;-76,581955;-4,087071;2434,411621;1
1,069000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,272049;-33,465607;2436,070068;1;-63,000843;-22,271044;2433,270996;1;-97,432907;-4,112544;2436,092285;1;-89,244827;-4,197290;2493,490234;1;-84,862305;-4,007656;2379,677246;1;-76,579247;-4,087981;2434,417969;1
1,103000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,269890;-33,464245;2436,082031;1;-62,990440;-22,272770;2433,269287;1;-97,435593;-4,106638;2436,099365;1;-89,246475;-4,199763;2493,505615;1;-84,863739;-4,001123;2379,678955;1;-76,579613;-4,089614;2434,427002;1
1,138000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,278458;-33,463417;2436,087158;1;-62,999702;-22,269403;2433,299561;1;-89,245621;-4,201484;2493,493164;1;-97,434601;-4,110716;2436,088623;1;-76,584160;-4,085366;2434,439941;1;-84,868111;-3,999311;2379,692383;1
1,172000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-98,270508;-33,464314;2436,039551;1;-62,992470;-22,274530;2433,281738;1;-89,252007;-4,202688;2493,526367;1;-97,441399;-4,117800;2436,116943;1;-76,581680;-4,085353;2434,431641;1;-84,866119;-4,005070;2379,681152;1
